Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Ukraine,UKR,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,60.6689734717416,64.4654088050314,55.4675118858954,30.3740648379052,24.9919120025882,25.1108885391329,23.5764815029572,23.2528818443804,22.4433074347799,25.3662921348315,26.1793420296989,27.7137706716827,26.9615549521223,29.4246363753379,25.8160998119979,23.0717380837747,21.5038972948189,20.1418554042073,22.2753276848432,21.5982286634461,27.7728395061728,26.2253436939629,6.62529283629937
United Arab Emirates,ARE,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Arab Emirates,ARE,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,43.6169923645626,44.0081988607897,44.4344187911332,44.7572887890434,44.8095424268175,42.8969961890848,42.2662535468265,41.5313439481495,41.9573838629997,42.741095027498,44.1342922881153,43.2504926182202,44.5287579507443,45.3868155618216,46.8655559527223,47.8979039108152,48.931081114564,50.3523057108193,51.9181141781495,53.4210198990115,59.3800136535537,60.3844949744011,55.7854764308896
United Kingdom,GBR,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,33.1855882383635,33.7947524448225,32.9404783508604,32.2066611505245,33.9209328203531,35.181835671989,36.1859870049688,36.9651919399986,39.6814456360038,41.5563436545563,41.7298039128205,41.348889635266,43.0270927436013,43.1439939929243,42.8167775013205,43.1727200811343,44.1803998724788,45.4086404236545,46.8284556463759,47.8925318749947,68.9596352120496,68.8395997141067,53.6059513210775
United States,USA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,37.9801084928358,40.8012557913588,42.978089070212,43.4872516045902,42.8218744737665,43.0236947757966,44.0055464078343,44.68537316451,44.6707532594986,47.2033391775582,45.2701058036547,45.3014205735247,45.1377298641564,44.6029324907822,44.7337514036639,45.4849489401,46.5696204683693,46.9732089452742,46.7380195254051,48.0610052886907,57.2945770793019,57.1652403521841,53.3973235962102
United States,USA,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,27.1213537907012,27.5402000812709,29.2211128027423,28.5909156490602,27.9570502707059,28.5074165636588,29.4639058069365,30.1138845029731,32.3284069734793,34.2795833876213,34.6770006675072,36.6962913683895,37.2617996604414,39.2029882264785,39.6507221821188,40.1798317459452,41.5198123628168,41.4176927363087,40.7671517748174,40.2112359392675,52.4395075031296,48.7985499838034,41.8845110658649
Uruguay,URY,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,5.3432703735737,6.40464661502233,6.71373451309555,9.90516031007381,12.9441571540339,11.8548459833954,16.2044332186087,19.7200805932467,19.1491137867197,18.3321051428516,19.4612069285527,16.7283991377794,34.4555559523392,34.7668499073941,35.7186541896092,37.4082477804989,33.8410381616648,35.1227118352324,35.0696672913962,40.6899989610266,52.3701467819096,62.1365992497991,48.8655000853289
Uruguay,URY,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,12.9031239027324,14.6670634715404,18.1332417309644,21.060926355484,21.2012257588729,21.0624988269641,24.402456079446,21.5023746950201,28.0128712054083,25.1424050237697,21.7415882425731,22.5392871283176,39.0081712199998,39.8798454412766,35.7647349223672,36.9139012017531,44.4401113520502,43.8356352548176,44.2395772396425,44.3946108230912,58.2267667145367,52.4060718393156,43.1850965763233
Uzbekistan,UZB,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,10.1553674689811,15.4236753547988,15.9945180196162,18.9655570297342,20.2238519840474,15.7199540402935,15.7634480023853,19.757773559216,15.8080186853287,18.1940085212835,16.9429358109307,17.5646867463646,14.2318738817761,10.8754105862956,9.83575831812705,18.2578487969779,15.8136537051272,36.4484341970376
Uzbekistan,UZB,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,8.9067603904446,10.0454566252293,5.62305350915746,4.74649462627384,4.92689945278718,5.17308981735269,5.06410355715342,7.30456286083218,7.88359700848135,3.41068977229415,3.86141305075598,3.81819515856034,6.85294513920302,6.23027977983921,5.95615938291296,17.1462545592247,12.0575982918551,9.43537272918668
Vanuatu,VUT,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,20.8468250377015,27.7505351035994,7.25812841469296,8.283911134169,5.58417579868686,6.66303629274017,5.9449008746023,4.86158397684125,4.27514029375598,3.36633968923999,4.42109159929895,3.59451285054082,2.30785494436611,2.07772742540602,3.08777550641139,3.96817513772457,4.64139910089557,5.1317139095305,3.82582553777404,3.91246618295848,10.7781746117482,29.1192381218688,..
Vanuatu,VUT,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,35.0227181703218,40.1977730258913,20.3135583043451,18.6330043981238,17.2747520231907,15.6071429425929,14.8987224077323,12.8490270992456,7.15257628445887,9.16415803133452,15.2666069344529,15.11838601097,14.3482126169166,12.245808990274,16.3048192797512,19.6862273603068,14.3386837207335,13.2715219616358,15.04251794824,13.3230266250849,14.8489790412327,10.9291711096935,..
"Venezuela, RB",VEN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,23.2799245994345,18.3788121990369,18.1025081788441,18.1132075471698,15.8560311284047,15.5750798722045,16.401384083045,9.61098398169337,9.91124260355029,10.8539094650206,12.6777983920841,13.7569401603948,13.7873754152824,9.68090859924283,14.1836173721825,14.2857142857143,13.1239935587762,..,..,..,..,..,..
"Venezuela, RB",VEN,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,27.3217636022514,25.9907017932256,26.8660598179454,26.4498312365756,27.7322724081442,23.8849198687005,23.209961950882,37.6293947589294,40.6047852856363,42.1422503668237,45.9381324082105,45.3021994947939,40.3489640130862,40.324835968592,48.1803797468354,48.9897093066927,46.5372739303044,..,..,..,..,..,..
Viet Nam,VNM,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Viet Nam,VNM,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,66.9092828775838,87.5825976846074,85.5958843054709,61.7097097382303,59.485406993316,73.3247081449335,81.2033447033062,50.7410490084129,44.323752486253,36.5256395504671,17.086597333476,10.8888272963831,26.4708864809044,36.9420716963938,40.2304949904627,39.2781931856282,45.1224204533742,53.8856589122369,54.4666287656373,18.3506500311662,27.0259742670037,24.5541719215314,51.4694960772863
